%"TOA5","WIRELESSME NODE3","DATA"
"TMSTAMP","RECNBR","PARENT","TEMP","MIC","BATTERRYLIFE","LIGHT"
"2012-09-11 06:13:59",103,156,6.76,480,3154,350
"2012-09-11 06:18:52",104,156,6.76,480,3154,350
"2012-09-11 06:23:45",105,156,6.76,480,3154,350
"2012-09-11 06:28:37",106,156,6.76,480,3154,350
"2012-09-11 06:33:31",107,156,6.30,479,3154,347
"2012-09-11 06:38:23",108,156,6.30,479,3154,347
"2012-09-11 06:43:16",109,156,6.30,479,3154,346
"2012-09-11 06:48:10",110,156,6.39,479,3154,347
"2012-09-11 06:53:02",111,156,6.30,479,3154,347
"2012-09-11 06:57:56",112,156,6.30,479,3154,347
"2012-09-11 07:02:48",113,156,6.30,480,3154,347
"2012-09-11 07:07:41",114,156,6.30,479,3154,347
"2012-09-11 07:12:34",115,156,6.30,479,3154,347
"2012-09-11 07:17:27",116,156,6.30,479,3154,347
"2012-09-11 07:22:21",117,156,6.30,479,3154,347
"2012-09-11 07:27:14",118,157,6.30,479,3154,347
"2012-09-11 07:32:06",119,157,6.30,479,3154,347
"2012-09-11 07:37:00",120,157,6.30,479,3154,346
"2012-09-11 07:41:52",121,157,6.30,479,3154,346
"2012-09-11 07:46:45",122,157,6.21,479,3154,346
"2012-09-11 07:51:38",123,157,6.21,479,3154,345
"2012-09-11 07:56:32",124,157,6.12,479,3154,345
"2012-09-11 08:01:24",125,157,6.12,479,3154,344
"2012-09-11 08:06:17",126,157,6.12,479,3146,344
"2012-09-11 08:11:09",127,157,6.03,479,3154,343
"2012-09-11 08:16:03",128,157,6.03,479,3154,343
"2012-09-11 08:20:56",129,157,5.94,479,3154,343
"2012-09-11 08:25:49",130,157,5.94,479,3146,342
"2012-09-11 08:30:42",131,157,5.84,479,3154,341
"2012-09-11 08:35:35",132,157,5.84,479,3154,341
"2012-09-11 08:40:28",133,157,5.75,479,3146,340
"2012-09-11 08:45:20",134,157,5.66,479,3154,339
"2012-09-11 08:50:15",135,157,5.57,479,3146,338
"2012-09-11 08:55:07",136,157,5.47,479,3146,337
"2012-09-11 08:59:59",137,157,5.38,479,3146,335
"2012-09-11 09:04:53",138,157,5.29,479,3146,335
"2012-09-11 09:09:46",139,157,5.19,478,3146,333
"2012-09-11 09:14:38",140,157,5.19,478,3154,333
"2012-09-11 09:19:32",141,157,5.10,478,3146,332
"2012-09-11 09:24:26",142,157,5.10,478,3146,331
"2012-09-11 09:29:17",143,157,5.10,478,3146,331
"2012-09-11 09:34:11",144,157,5.10,478,3154,331
"2012-09-11 09:39:04",145,157,5.01,478,3146,330
"2012-09-11 09:43:56",146,156,5.01,478,3146,330
"2012-09-11 09:48:49",147,157,5.01,478,3146,330
"2012-09-11 09:53:42",148,157,5.10,478,3146,331
"2012-09-11 09:58:35",149,157,5.01,478,3146,331
"2012-09-11 10:03:28",150,157,5.01,478,3146,326
"2012-09-11 10:08:21",151,157,4.91,478,3146,329
"2012-09-11 10:13:14",152,157,4.72,478,3146,326
"2012-09-11 10:18:08",153,157,4.63,478,3146,325
"2012-09-11 10:23:00",154,157,4.63,477,3146,324
"2012-09-11 10:27:53",155,157,4.63,478,3146,324
"2012-09-11 10:32:46",156,157,4.72,478,3146,325
"2012-09-11 10:37:40",157,157,4.82,478,3146,327
"2012-09-11 10:42:32",158,157,4.82,478,3146,328
"2012-09-11 10:47:25",159,157,4.91,478,3146,329
"2012-09-11 10:52:18",160,157,5.01,478,3146,330
"2012-09-11 10:57:12",161,157,4.91,478,3146,330
"2012-09-11 11:02:03",162,157,4.82,478,3146,328
"2012-09-11 11:06:56",163,157,4.72,478,3146,326
"2012-09-11 11:11:49",164,157,4.54,478,3146,323
"2012-09-11 11:16:44",165,157,4.44,477,3146,321
"2012-09-11 11:21:37",166,157,4.25,477,3146,318
"2012-09-11 11:26:29",167,156,4.06,477,3146,315
"2012-09-11 11:31:22",168,157,3.97,476,3146,313
"2012-09-11 11:36:15",169,157,3.87,476,3146,311
"2012-09-11 11:41:08",170,157,3.87,476,3138,311
"2012-09-11 11:46:01",171,157,4.25,477,3146,315
"2012-09-11 11:50:54",172,157,4.25,477,3146,315
"2012-09-11 11:55:47",173,157,3.87,476,3146,312
"2012-09-11 12:00:39",174,157,3.87,476,3146,312
"2012-09-11 12:05:33",175,157,3.87,476,3146,310
"2012-09-11 12:10:26",176,157,3.68,476,3138,308
"2012-09-11 12:15:18",177,157,3.97,476,3138,309
"2012-09-11 12:20:11",178,157,3.77,476,3146,306
"2012-09-11 12:25:05",179,157,3.39,475,3146,302
"2012-09-11 12:29:57",180,157,3.39,475,3138,302
"2012-09-11 12:34:50",181,157,3.49,475,3138,303
"2012-09-11 12:39:43",182,157,3.49,476,3146,305
"2012-09-11 12:44:37",183,157,3.58,476,3146,307
"2012-09-11 12:49:29",184,157,3.68,476,3146,309
"2012-09-11 12:54:22",185,157,3.77,476,3146,311
"2012-09-11 12:59:16",186,157,4.16,477,3138,315
"2012-09-11 13:04:07",187,157,3.77,476,3138,312
"2012-09-11 13:09:02",188,157,3.77,476,3138,311
"2012-09-11 13:13:54",189,157,3.58,476,3146,307
"2012-09-11 13:18:48",190,157,3.77,476,3146,306
"2012-09-11 13:23:41",191,157,3.29,475,3138,301
"2012-09-11 13:28:33",192,157,3.20,475,3138,298
"2012-09-11 13:33:26",193,157,3.20,475,3138,297
"2012-09-11 13:38:20",194,157,3.20,475,3138,298
"2012-09-11 13:43:13",195,157,3.29,475,3138,300
"2012-09-11 13:48:05",196,157,3.39,476,3138,303
"2012-09-11 13:52:57",197,157,3.49,476,3138,306
"2012-09-11 13:57:51",198,157,3.58,476,3146,308
"2012-09-11 14:02:43",199,157,3.58,476,3138,309
"2012-09-11 14:07:37",200,157,3.58,476,3138,309
"2012-09-11 14:17:23",201,157,3.68,476,3138,310
"2012-09-11 14:22:16",202,157,3.68,476,3138,311
"2012-09-11 14:27:08",203,157,3.68,476,3138,310
"2012-09-11 14:32:02",204,157,3.97,476,3138,312
"2012-09-11 14:36:54",205,157,3.58,476,3138,308
"2012-09-11 14:41:48",206,157,3.49,476,3138,307
"2012-09-11 14:46:42",207,157,3.39,476,3138,305
"2012-09-11 14:51:33",208,157,3.29,475,3138,302
"2012-09-11 14:56:26",209,157,3.00,474,3138,292
"2012-09-11 15:01:20",210,157,3.10,473,3138,283
"2012-09-11 15:06:12",211,157,2.61,472,3138,271
"2012-09-11 15:11:06",212,157,2.41,472,3138,265
"2012-09-11 15:16:00",213,157,2.21,472,3138,259
"2012-09-11 15:20:51",214,157,2.21,472,3138,258
"2012-09-11 15:25:44",215,157,2.11,472,3138,256
"2012-09-11 15:35:30",216,157,2.21,472,3138,256
"2012-09-11 15:40:23",217,157,2.02,472,3138,252
"2012-09-11 15:45:15",218,157,2.02,472,3138,250
"2012-09-11 15:50:09",219,157,1.92,472,3138,250
"2012-09-11 15:55:02",220,157,2.11,472,3138,251
"2012-09-11 15:59:56",221,157,2.11,472,3138,250
"2012-09-11 16:04:48",222,157,2.02,472,3138,249
"2012-09-11 16:09:41",223,157,1.92,472,3138,247
"2012-09-11 16:14:36",224,157,2.21,473,3138,257
"2012-09-11 16:19:26",225,157,2.21,473,3138,258
"2012-09-11 16:24:21",226,157,1.92,472,3138,251
"2012-09-11 16:29:12",227,157,1.82,472,3138,248
"2012-09-11 16:34:07",228,157,1.72,472,3138,245
"2012-09-11 16:38:58",229,157,1.62,472,3138,243
"2012-09-11 16:43:51",230,157,1.62,472,3138,242
"2012-09-11 16:48:46",231,157,2.02,472,3138,247
"2012-09-11 16:53:38",232,157,1.51,472,3138,241
"2012-09-11 16:58:30",233,157,1.51,472,3138,240
"2012-09-11 17:03:24",234,157,1.62,472,3138,242
"2012-09-11 17:08:17",235,157,1.41,472,3138,239
"2012-09-11 17:13:10",236,157,1.51,472,3138,240
"2012-09-11 17:18:02",237,157,1.41,472,3138,238
"2012-09-11 17:22:56",238,157,1.51,472,3138,241
"2012-09-11 17:27:49",239,157,1.62,472,3138,242
"2012-09-11 17:32:41",240,157,1.51,472,3138,239
"2012-09-11 17:37:35",241,157,1.41,472,3138,239
"2012-09-11 17:42:28",242,157,1.41,472,3138,238
"2012-09-11 17:52:14",243,156,1.51,473,3138,239
