%"TOA5","WIRELESSME NODE3","DATA"
"TMSTAMP","RECNBR","PARENT","TEMP","MIC","BATTERRYLIFE","LIGHT"
"2012-09-10 21:41:21",1,156,6.03,480,3178,343
"2012-09-10 21:46:10",2,156,6.03,480,3170,344
"2012-09-10 21:51:04",3,156,6.03,480,3178,344
"2012-09-10 21:55:56",4,156,6.12,480,3170,344
"2012-09-10 22:00:51",5,155,6.12,480,3170,344
"2012-09-10 22:05:43",6,155,6.12,480,3170,345
"2012-09-10 22:10:35",7,155,6.12,480,3170,345
"2012-09-10 22:15:30",8,155,6.21,480,3170,345
"2012-09-10 22:20:22",9,155,6.21,480,3170,346
"2012-09-10 22:25:15",10,155,6.21,480,3170,346
"2012-09-10 22:30:08",11,155,6.21,480,3170,346
"2012-09-10 22:35:01",12,155,6.21,480,3170,346
"2012-09-10 22:39:55",13,155,6.21,480,3170,346
"2012-09-10 22:44:46",14,155,6.21,480,3170,346
"2012-09-10 22:49:38",15,156,6.21,480,3170,346
"2012-09-10 22:54:31",16,156,6.21,480,3170,346
"2012-09-10 22:59:24",17,157,6.21,480,3170,346
"2012-09-10 23:04:19",18,155,6.21,480,3170,346
"2012-09-10 23:09:12",19,155,6.21,480,3170,346
"2012-09-10 23:14:04",20,155,6.21,480,3170,346
"2012-09-10 23:18:57",21,156,6.21,480,3170,346
"2012-09-10 23:23:50",22,156,6.21,480,3170,346
"2012-09-10 23:28:43",23,156,6.21,480,3170,346
"2012-09-10 23:33:36",24,156,6.21,480,3170,346
"2012-09-10 23:38:30",25,156,6.21,480,3170,346
"2012-09-10 23:43:22",26,156,6.21,480,3170,346
"2012-09-10 23:48:15",27,156,6.21,480,3170,346
"2012-09-10 23:53:08",28,156,6.21,480,3162,346
"2012-09-10 23:58:01",29,156,6.67,480,3170,349
"2012-09-11 00:02:54",30,156,6.67,480,3170,349
"2012-09-11 00:07:47",31,156,6.67,480,3170,349
"2012-09-11 00:12:39",32,156,6.21,480,3170,346
"2012-09-11 00:17:33",33,156,6.21,480,3170,346
"2012-09-11 00:22:26",34,156,6.21,480,3170,346
"2012-09-11 00:27:18",35,156,6.21,480,3162,346
"2012-09-11 00:32:12",36,156,6.21,480,3170,345
"2012-09-11 00:37:04",37,156,6.21,480,3170,345
"2012-09-11 00:41:57",38,156,6.21,480,3170,345
"2012-09-11 00:51:43",39,156,7.30,481,3162,353
"2012-09-11 00:56:37",40,156,6.21,480,3170,345
"2012-09-11 01:01:29",41,156,6.58,480,3162,349
"2012-09-11 01:06:23",42,156,6.67,480,3170,349
"2012-09-11 01:11:16",43,156,6.58,480,3162,349
"2012-09-11 01:16:08",44,156,6.58,480,3162,349
"2012-09-11 01:21:01",45,156,6.67,480,3162,349
"2012-09-11 01:25:54",46,156,6.21,480,3162,345
"2012-09-11 01:30:47",47,156,6.21,480,3162,345
"2012-09-11 01:35:40",48,156,6.21,480,3162,345
"2012-09-11 01:40:33",49,156,6.21,480,3162,345
"2012-09-11 01:45:25",50,156,6.12,480,3162,345
"2012-09-11 01:50:19",51,156,6.21,480,3162,346
"2012-09-11 01:55:12",52,156,6.21,480,3162,346
"2012-09-11 02:00:05",53,156,6.21,480,3162,346
"2012-09-11 02:04:58",54,156,6.30,480,3162,346
"2012-09-11 02:09:51",55,156,6.21,480,3162,346
"2012-09-11 02:14:45",56,156,6.21,480,3162,345
"2012-09-11 02:24:29",57,156,6.21,480,3162,346
"2012-09-11 02:29:23",58,156,6.21,480,3162,346
"2012-09-11 02:34:15",59,156,6.21,480,3162,346
"2012-09-11 02:39:10",60,155,6.21,480,3162,346
"2012-09-11 02:44:03",61,155,6.21,480,3162,346
"2012-09-11 02:48:53",62,157,6.21,480,3162,345
"2012-09-11 02:53:48",63,157,6.21,480,3162,346
"2012-09-11 02:58:40",64,157,6.21,480,3162,346
"2012-09-11 03:03:33",65,157,6.21,480,3162,346
"2012-09-11 03:08:26",66,157,6.21,480,3162,346
"2012-09-11 03:13:20",67,156,6.21,480,3162,346
"2012-09-11 03:18:11",68,157,6.21,480,3162,346
"2012-09-11 03:23:05",69,157,6.21,480,3162,346
"2012-09-11 03:27:58",70,157,6.21,480,3162,346
"2012-09-11 03:32:51",71,157,6.21,480,3162,346
"2012-09-11 03:37:43",72,157,6.21,480,3162,346
"2012-09-11 03:42:37",73,156,6.21,480,3162,346
"2012-09-11 03:47:30",74,156,6.21,480,3162,346
"2012-09-11 03:52:24",75,157,6.21,480,3162,346
"2012-09-11 03:57:16",76,156,6.21,480,3162,346
"2012-09-11 04:02:08",77,156,6.21,480,3162,346
"2012-09-11 04:07:02",78,156,6.21,480,3162,346
"2012-09-11 04:11:54",79,156,6.21,480,3162,346
"2012-09-11 04:16:47",80,156,6.21,480,3162,346
"2012-09-11 04:21:41",81,156,6.21,480,3162,346
"2012-09-11 04:26:34",82,156,6.67,480,3162,349
"2012-09-11 04:31:27",83,156,6.67,480,3154,349
"2012-09-11 04:36:20",84,156,6.67,480,3162,349
"2012-09-11 04:41:13",85,156,6.67,480,3162,349
"2012-09-11 04:46:06",86,156,6.21,480,3162,346
"2012-09-11 04:50:59",87,156,6.21,480,3162,346
"2012-09-11 04:55:52",88,156,6.30,480,3154,346
"2012-09-11 05:00:44",89,156,6.30,480,3154,346
"2012-09-11 05:05:37",90,156,6.30,480,3162,346
"2012-09-11 05:10:30",91,156,6.30,480,3154,346
"2012-09-11 05:15:23",92,156,6.30,480,3162,346
"2012-09-11 05:20:16",93,156,6.30,480,3162,347
"2012-09-11 05:25:10",94,156,6.30,479,3154,347
"2012-09-11 05:30:02",95,156,6.30,480,3154,347
"2012-09-11 05:34:55",96,156,6.30,480,3154,347
"2012-09-11 05:39:48",97,156,6.30,480,3154,347
"2012-09-11 05:44:41",98,156,6.30,480,3154,347
"2012-09-11 05:49:35",99,156,6.30,480,3154,347
"2012-09-11 05:54:27",100,156,6.30,479,3138,347
"2012-09-11 05:59:21",101,156,6.30,479,3154,347
"2012-09-11 06:04:12",102,156,6.76,480,3154,350
